id_pelicula,titulo,popularidad,votos_promedio,clasificacion_chile,restriccion_horaria,promocion_permitida,fuente
1002398,Donselya,41.6912,6.7,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1010581,Culpa mía,48.8262,7.734,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1057265,పెద్ది,277.9619,6.2,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
10681,WALL·E: Batallón de limpieza,20.7334,8.114,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1081003,Supergirl,40.4977,5.2,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1083884,Signal One,25.6363,6.6,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1084577,Balls Up: Con un par,27.7265,5.9,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
11012,Herida,197.3027,6.569,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1103473,ಕೆಡಿ - ದಿ ಡೆವಿಲ್,194.598,7.5,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1110034,Kraken,31.1225,6.311,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1156593,Culpa tuya,38.3001,7.078,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1157008,Dime lo que quieres (de verdad),37.1952,7.773,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1168190,Los hermanos demolición,34.3675,7.025,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1184918,Robot salvaje,38.7969,8.315,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1196067,Worldbreaker,22.0876,6.1,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
120,El señor de los anillos: La comunidad del anillo,36.6584,8.436,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1207162,Rise of the Conqueror,29.6993,6.176,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
12104,Pink Floyd: El muro,36.8175,7.928,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1210938,Revelación,26.4248,6.379,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1218925,Chainsaw Man - La película: El arco de Reze,24.5171,8.4,14+,Promoción restringida después de las 22:00,Permitida solo con contenido para mayores,TMDB + reglas Chile
122,El señor de los anillos: El retorno del rey,38.438,8.501,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1220522,డెకాయిట్,43.4269,6.6,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1226863,Super Mario Galaxy la película,212.5038,8.207,TE,Permitida en horario familiar,Permitida para campañas familiares,TMDB + reglas Chile
1228710,The Mandalorian and Grogu,212.2515,6.7,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1232221,사위 사랑은 장모 4,20.7763,4.0,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1233413,Los pecadores,31.4786,7.498,14+,Promoción restringida después de las 22:00,Permitida solo con contenido para mayores,TMDB + reglas Chile
1234731,Anaconda,18.6433,5.882,TE+7,Permitida en horario familiar,Permitida para campañas familiares,TMDB + reglas Chile
1234821,Jurassic World: El renacer,31.998,6.271,TE,Permitida en horario familiar,Permitida para campañas familiares,TMDB + reglas Chile
1239134,La Boda Maldita,368.1664,5.56,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1241982,Vaiana 2,25.0897,7.007,TE+7,Permitida en horario familiar,Permitida para campañas familiares,TMDB + reglas Chile
